drugbank_id,name,other_drug_name,interaction_description
db00001,lepirudin,nabumetone,the risk or severity of bleeding and hemorrhage can be increased when nabumetone is combined with lepirudin.
db00001,lepirudin,ketorolac,the risk or severity of bleeding and hemorrhage can be increased when ketorolac is combined with lepirudin.
db00001,lepirudin,tenoxicam,the risk or severity of bleeding and hemorrhage can be increased when tenoxicam is combined with lepirudin.
db00001,lepirudin,celecoxib,the risk or severity of bleeding and hemorrhage can be increased when celecoxib is combined with lepirudin.
db00001,lepirudin,tolmetin,the risk or severity of bleeding and hemorrhage can be increased when tolmetin is combined with lepirudin.
db00001,lepirudin,rofecoxib,the risk or severity of bleeding and hemorrhage can be increased when rofecoxib is combined with lepirudin.
db00001,lepirudin,piroxicam,the risk or severity of bleeding and hemorrhage can be increased when piroxicam is combined with lepirudin.
db00001,lepirudin,fenoprofen,the risk or severity of bleeding and hemorrhage can be increased when fenoprofen is combined with lepirudin.
db00001,lepirudin,valdecoxib,the risk or severity of bleeding and hemorrhage can be increased when valdecoxib is combined with lepirudin.
db00001,lepirudin,diclofenac,the risk or severity of bleeding and hemorrhage can be increased when diclofenac is combined with lepirudin.
db00001,lepirudin,sulindac,the risk or severity of bleeding and hemorrhage can be increased when sulindac is combined with lepirudin.
db00001,lepirudin,flurbiprofen,the risk or severity of bleeding and hemorrhage can be increased when flurbiprofen is combined with lepirudin.
db00001,lepirudin,etodolac,the risk or severity of bleeding and hemorrhage can be increased when etodolac is combined with lepirudin.
db00001,lepirudin,mefenamic acid,the risk or severity of bleeding and hemorrhage can be increased when mefenamic acid is combined with lepirudin.
db00001,lepirudin,naproxen,the risk or severity of bleeding and hemorrhage can be increased when naproxen is combined with lepirudin.
db00001,lepirudin,sulfasalazine,the risk or severity of bleeding and hemorrhage can be increased when sulfasalazine is combined with lepirudin.
db00001,lepirudin,phenylbutazone,the risk or severity of bleeding and hemorrhage can be increased when phenylbutazone is combined with lepirudin.
db00001,lepirudin,meloxicam,the risk or severity of bleeding and hemorrhage can be increased when meloxicam is combined with lepirudin.
db00001,lepirudin,carprofen,the risk or severity of bleeding and hemorrhage can be increased when carprofen is combined with lepirudin.
db00001,lepirudin,diflunisal,the risk or severity of bleeding and hemorrhage can be increased when diflunisal is combined with lepirudin.
db00001,lepirudin,salicylic acid,the risk or severity of bleeding and hemorrhage can be increased when salicylic acid is combined with lepirudin.
db00001,lepirudin,meclofenamic acid,the risk or severity of bleeding and hemorrhage can be increased when meclofenamic acid is combined with lepirudin.
db00001,lepirudin,oxaprozin,the risk or severity of bleeding and hemorrhage can be increased when oxaprozin is combined with lepirudin.
db00001,lepirudin,ketoprofen,the risk or severity of bleeding and hemorrhage can be increased when ketoprofen is combined with lepirudin.
db00001,lepirudin,balsalazide,the risk or severity of bleeding and hemorrhage can be increased when balsalazide is combined with lepirudin.
db00001,lepirudin,olsalazine,the risk or severity of bleeding can be increased when olsalazine is combined with lepirudin.
db00001,lepirudin,lumiracoxib,the risk or severity of bleeding and hemorrhage can be increased when lumiracoxib is combined with lepirudin.
db00001,lepirudin,magnesium salicylate,the risk or severity of bleeding and hemorrhage can be increased when magnesium salicylate is combined with lepirudin.
db00001,lepirudin,salsalate,the risk or severity of bleeding and hemorrhage can be increased when salsalate is combined with lepirudin.
db00001,lepirudin,choline magnesium trisalicylate,the risk or severity of bleeding and hemorrhage can be increased when choline magnesium trisalicylate is combined with lepirudin.
db00001,lepirudin,antrafenine,the risk or severity of bleeding and hemorrhage can be increased when antrafenine is combined with lepirudin.
db00001,lepirudin,aminophenazone,the risk or severity of bleeding and hemorrhage can be increased when aminophenazone is combined with lepirudin.
db00001,lepirudin,antipyrine,the risk or severity of bleeding and hemorrhage can be increased when antipyrine is combined with lepirudin.
db00001,lepirudin,tiaprofenic acid,the risk or severity of bleeding and hemorrhage can be increased when tiaprofenic acid is combined with lepirudin.
db00001,lepirudin,etoricoxib,the risk or severity of bleeding and hemorrhage can be increased when etoricoxib is combined with lepirudin.
db00001,lepirudin,taxifolin,the risk or severity of bleeding and hemorrhage can be increased when taxifolin is combined with lepirudin.
db00001,lepirudin,oxyphenbutazone,the risk or severity of bleeding and hemorrhage can be increased when oxyphenbutazone is combined with lepirudin.
db00001,lepirudin,licofelone,the risk or severity of bleeding and hemorrhage can be increased when licofelone is combined with lepirudin.
db00001,lepirudin,benoxaprofen,the risk or severity of bleeding and hemorrhage can be increased when benoxaprofen is combined with lepirudin.
db00001,lepirudin,zomepirac,the risk or severity of bleeding and hemorrhage can be increased when zomepirac is combined with lepirudin.
db00001,lepirudin,cimicoxib,the risk or severity of bleeding and hemorrhage can be increased when cimicoxib is combined with lepirudin.
db00001,lepirudin,lornoxicam,the risk or severity of bleeding and hemorrhage can be increased when lornoxicam is combined with lepirudin.
db00001,lepirudin,aceclofenac,the risk or severity of bleeding and hemorrhage can be increased when aceclofenac is combined with lepirudin.
db00001,lepirudin,zaltoprofen,the risk or severity of bleeding and hemorrhage can be increased when zaltoprofen is combined with lepirudin.
db00001,lepirudin,azapropazone,the risk or severity of bleeding and hemorrhage can be increased when azapropazone is combined with lepirudin.
db00001,lepirudin,parecoxib,the risk or severity of bleeding and hemorrhage can be increased when parecoxib is combined with lepirudin.
db00001,lepirudin,salicylamide,the risk or severity of bleeding and hemorrhage can be increased when salicylamide is combined with lepirudin.
db00001,lepirudin,kebuzone,the risk or severity of bleeding and hemorrhage can be increased when kebuzone is combined with lepirudin.
db00001,lepirudin,isoxicam,the risk or severity of bleeding and hemorrhage can be increased when isoxicam is combined with lepirudin.
db00001,lepirudin,indoprofen,the risk or severity of bleeding and hemorrhage can be increased when indoprofen is combined with lepirudin.
db00001,lepirudin,ibuproxam,the risk or severity of bleeding and hemorrhage can be increased when ibuproxam is combined with lepirudin.
db00001,lepirudin,floctafenine,the risk or severity of bleeding and hemorrhage can be increased when floctafenine is combined with lepirudin.
db00001,lepirudin,fenbufen,the risk or severity of bleeding and hemorrhage can be increased when fenbufen is combined with lepirudin.
db00001,lepirudin,etofenamate,the risk or severity of bleeding and hemorrhage can be increased when etofenamate is combined with lepirudin.
db00001,lepirudin,epirizole,the risk or severity of bleeding and hemorrhage can be increased when epirizole is combined with lepirudin.
db00001,lepirudin,benzydamine,the risk or severity of bleeding and hemorrhage can be increased when benzydamine is combined with lepirudin.
db00001,lepirudin,dexketoprofen,the risk or severity of bleeding and hemorrhage can be increased when dexketoprofen is combined with lepirudin.
db00001,lepirudin,droxicam,the risk or severity of bleeding and hemorrhage can be increased when droxicam is combined with lepirudin.
db00001,lepirudin,tolfenamic acid,the risk or severity of bleeding and hemorrhage can be increased when tolfenamic acid is combined with lepirudin.
db00001,lepirudin,firocoxib,the risk or severity of bleeding and hemorrhage can be increased when firocoxib is combined with lepirudin.
db00001,lepirudin,clonixin,the risk or severity of bleeding and hemorrhage can be increased when clonixin is combined with lepirudin.
db00001,lepirudin,morniflumate,the risk or severity of bleeding and hemorrhage can be increased when morniflumate is combined with lepirudin.
db00001,lepirudin,propacetamol,the risk or severity of bleeding and hemorrhage can be increased when propacetamol is combined with lepirudin.
db00001,lepirudin,talniflumate,the risk or severity of bleeding and hemorrhage can be increased when talniflumate is combined with lepirudin.
db00001,lepirudin,robenacoxib,the risk or severity of bleeding and hemorrhage can be increased when robenacoxib is combined with lepirudin.
db00001,lepirudin,tepoxalin,the risk or severity of bleeding and hemorrhage can be increased when tepoxalin is combined with lepirudin.
db00001,lepirudin,flunixin,the risk or severity of bleeding and hemorrhage can be increased when flunixin is combined with lepirudin.
db00001,lepirudin,polmacoxib,the risk or severity of bleeding and hemorrhage can be increased when polmacoxib is combined with lepirudin.
